hcp_id,name,specialty,location,experience,rating,fee,degree_qual,kol_score,is_kol,kol_rank,latitude,longitude,degree_centrality,betweenness_centrality
2565,S L Sagar Reddy,endocrinologist,Bangalore,12,4.0,950,"MBBS, MD - General Medicine, DM - Endocrinology",0.3362622296330672,0,1111,12.95825,77.74538,0.0019220208676551346,8.697244346791174e-07
1548,Shakthi K J S,neurologist,Bangalore,16,5.0,1250,"MBBS, MD - General Medicine, DM - Neurology",0.33622045940760253,0,1112,12.9108543526037,77.58517026901245,0.0027457440966501922,2.245952548067352e-05
3171,Rahul C,dentist,Bangalore,7,5.0,400,BDS,0.33606851432775064,0,1113,13.046840518118644,77.62809198349714,0.0027457440966501922,0.0002649125221278076
1919,Maitri Chaudhuri,pediatrician,Bangalore,22,4.5,1000,"MBBS, MD - Pediatrics, Fellowship in Pediatric Cardiology, FNB - Pediatric Cardiology",0.3356876534955333,0,1114,12.9594669,77.6539902,0.0027457440966501922,0.00018386467817761506
2843,Md Basheeruddin Inamdar,oncologist,Bangalore,11,3.5,1090,"MBBS, MS - General Surgery, MCh - Surgical Oncology",0.3354661741051297,0,1115,13.0509374,77.5913499,0.0027457440966501922,4.384290981379693e-06
3364,Madhusudan G,plastic-surgeon,Bangalore,31,4.5,1200,"MBBS, MS - ENT, DNB - Otorhinolaryngology, MCh - Plastic Surgery",0.335218566864397,0,1116,13.054552010758,77.591893828697,0.0027457440966501922,2.4869878206873537e-05
2917,Swetha Raghavendra,dentist,Rajajinagar,23,5.0,300,BDS,0.33516940649344584,0,1117,12.98761,77.55597,0.0008237232289950577,0.0
520,Savitha A S,dermatologist,Indiranagar,19,5.0,700,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology, Venereology & Leprosy",0.3350412961759013,0,1118,12.970237619587069,77.64005002883606,0.0013728720483250961,0.0
2385,Ashwin Giridhar,urologist,Yelahanka,12,5.0,1000,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, DNB - Urology/Genito - Urinary Surgery",0.3349668363894355,0,1119,13.1183348,77.6083878,0.0008237232289950577,0.0
3562,Manoj Kumar Samantaray,ayurveda,Bangalore,24,5.0,700,MBBS,0.334747643067313,0,1120,12.961748912867,77.716865139082,0.0027457440966501922,2.8402279157566165e-06
632,Pooja R Uppoor,dermatologist,Jayanagar,2,5.0,900,"MBBS, MD - Dermatology , Venereology & Leprosy",0.33457595529792156,0,1121,12.91682283655,77.585680809862,0.0027457440966501922,9.634541356595737e-06
3130,Kadhambari Swaminathan,dentist,Bangalore,16,4.2,500,BDS,0.3345104045639107,0,1122,12.98028804981058,77.75080271065235,0.0027457440966501922,0.00017950379339327772
338,Gurmeet Soni Bhalla,general-physician,Whitefield,29,4.0,1200,MBBS,0.3345089509428276,0,1123,12.972753047119,77.750681340694,0.002196595277320154,7.171412005248862e-07
626,M G Gopal,dermatologist,Jayanagar,39,4.0,900,"MBBS, MD - Dermatology",0.33424173256743084,0,1124,12.9281467,77.5970283,0.0027457440966501922,1.4767877305641658e-05
2403,Surya Kant Choubey,urologist,Bangalore,33,4.0,900,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",0.33416310641018804,0,1125,12.9781484,77.6357908,0.0027457440966501922,1.2380114824498236e-05
1760,Koushik,pediatrician,Bangalore,15,4.0,850,"MBBS, MS - General Surgery, MCh - Pediatric  Surgery, DNB - Paediatrics",0.33404371569673713,0,1126,12.8589,77.76181,0.0027457440966501922,0.0002496056487776957
